Дата,Максимальная,Минимальная,Средняя,Атмосферное,Скорость ветра,Осадки,Эффективная
01.01.19,10,2,5,,3,8,1.4
02.01.19,10,1,6,,5,0,1.9
03.01.19,14,8,9,,5,0,5.4
04.01.19,17,6,11,,6,4,6.5
05.01.19,7,4,5,,3,18,2.2
06.01.19,11,4,8,,3,3,5.2
07.01.19,9,4,7,,3,9,3.7
08.01.19,9,1,5,,3,0,2.0
09.01.19,8,0,4,,4,15,-0.1
10.01.19,10,0,5,,5,0,0.6
11.01.19,14,5,11,,4,0,6.9
12.01.19,13,5,8,,4,18,4.2
13.01.19,9,5,7,,3,35,3.8
14.01.19,14,4,9,,4,9,5.1
15.01.19,18,7,13,,7,0,8.1
16.01.19,18,1,7,,5,9,3.2
17.01.19,8,0,3,,4,2,-1.3
18.01.19,9,0,4,,5,0,-1.2
19.01.19,9,0,5,,4,0,0.6
20.01.19,7,3,5,,5,1,0.8
21.01.19,13,3,7,,4,0,3.7
22.01.19,8,4,6,,3,14,3.1
23.01.19,14,3,8,,5,0,3.4
24.01.19,17,5,10,,5,0,5.6
25.01.19,16,9,11,,4,0,7.7
26.01.19,17,7,13,,6,0,8.0
27.01.19,18,11,13,,5,0,9.7
28.01.19,13,5,10,,2,2,8.0
29.01.19,14,4,8,,4,0,4.5
30.01.19,17,4,10,,4,0,6.0
31.01.19,17,7,11,,5,0,6.2
01.02.19,14,7,10,,3,0,7.8
02.02.19,12,5,8,,2,3,6.5
03.02.19,12,5,8,,2,0,6.3
04.02.19,17,3,9,,2,0,6.6
05.02.19,15,4,9,,3,0,5.5
06.02.19,17,2,10,,2,0,7.7
07.02.19,13,8,11,,2,0,8.9
08.02.19,12,8,10,,2,0,8.3
09.02.19,10,8,9,,2,14,7.4
10.02.19,9,7,8,,1,11,7.0
11.02.19,12,4,8,,2,0,6.0
12.02.19,14,3,9,,4,0,5.3
13.02.19,15,6,10,,3,0,7.1
14.02.19,11,5,9,,2,0,6.7
15.02.19,11,5,8,,2,0,6.2
16.02.19,11,3,7,,4,0,3.8
17.02.19,9,5,7,,2,0,4.3
18.02.19,7,2,6,,2,16,3.6
19.02.19,8,-1,4,,3,0,0.9
20.02.19,10,0,5,,3,0,1.4
21.02.19,11,1,6,,3,0,2.9
22.02.19,11,3,7,,3,0,4.5
23.02.19,17,5,10,,4,0,7.0
24.02.19,9,3,6,,2,0,4.1
25.02.19,7,3,6,,2,0,3.3
26.02.19,6,5,5,,4,3,1.8
